age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58.0,management,married,tertiary,no,2143.0,yes,no,unknown,,,261.0,1.0,-1.0,0.0,unknown,no
,technician,single,secondary,no,29.0,yes,no,unknown,5.0,may,151.0,1.0,-1.0,0.0,unknown,no
,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5.0,may,76.0,1.0,-1.0,0.0,unknown,no
,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5.0,may,92.0,1.0,-1.0,0.0,unknown,no
33.0,unknown,single,unknown,no,1.0,no,no,,5.0,may,198.0,1.0,-1.0,0.0,unknown,no
,management,married,tertiary,no,231.0,yes,no,unknown,5.0,may,139.0,1.0,-1.0,0.0,unknown,no
28.0,management,single,tertiary,no,447.0,yes,yes,unknown,5.0,may,217.0,,,0.0,unknown,no
42.0,entrepreneur,,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,,-1.0,0.0,unknown,no
58.0,retired,married,primary,no,121.0,yes,,unknown,5.0,may,50.0,1.0,-1.0,0.0,unknown,no
43.0,technician,single,secondary,,593.0,yes,no,unknown,5.0,may,55.0,1.0,,0.0,unknown,no
41.0,admin.,divorced,secondary,,270.0,yes,no,unknown,5.0,may,222.0,1.0,-1.0,0.0,unknown,no
29.0,admin.,single,secondary,no,390.0,yes,no,unknown,5.0,may,137.0,1.0,-1.0,0.0,unknown,no
53.0,technician,,secondary,no,6.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
,technician,married,unknown,no,71.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown,no
57.0,services,married,secondary,no,162.0,,no,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown,no
51.0,retired,married,primary,no,,yes,no,unknown,5.0,may,353.0,1.0,-1.0,0.0,unknown,no
45.0,admin.,single,unknown,,13.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown,no
57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5.0,may,38.0,1.0,-1.0,0.0,unknown,no
60.0,retired,married,primary,no,60.0,yes,no,unknown,5.0,may,219.0,1.0,-1.0,0.0,unknown,no
33.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,,1.0,-1.0,0.0,unknown,no
28.0,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5.0,may,262.0,1.0,-1.0,0.0,unknown,no
